betadraw,trial,state,prhv_rsft,prstate,hvalue,lvalue,numberOfdraws,sampleNR,count_xh,count_xl,xh,yh,xl,yl,pxh,pyh,pxl,pyl,b,count_yh,count_yl,pmax,nr,id,bxh,bxl,byh,byl,start
2,3,4,0.5,0.387750392143387,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,3,9,0.808649863562817,0.176761811548942,0.288252319389587,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,3,10,0.808649863562817,0.248348981478024,0.288252319389587,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
2,3,16,0.5,0.0393692226382428,1,1,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.288252319389587,1,0.711747680610413,0,0
3,1,0,0.603164714107697,1,0.138372435712062,0.0546386318013192,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,2,1,0.567876529575251,0.462175517870068,0.0546386318013192,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,2,2,0.567876529575251,0.603164714107697,0.0546386318013192,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,2,8,0.710034628588561,0.140989196237629,0.412859525633849,0.233749078717584,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,3,2,0.5,0.201109166379113,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,3,3,0.5,0.524917258285397,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,3,4,0.5,0.342523084609728,0,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,3,9,0.762918074419748,0.138056705868054,0.233749078717584,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,3,10,0.762918074419748,0.180171667052614,0.233749078717584,0,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
3,3,16,0.5,0.0233999684811167,1,1,3,1,2,3,8,1,2,4,0.4,0.6,0.9,0.1,17,1,0,0.428571428571429,1,17_3_1,0.233749078717584,1,0.766250921282416,0,0
